MS1,MS2,MS3,MS4,MS5,MS6,EWM1,EWM2,EWM3,EWM4,EWM5,EWM6,EWM7,EWM8,KP1,KP2,KP3,KP4,KP5,KP6,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,LP11,LP12
5,4,4,5,4,4,5,4,5,5,4,5,4,3,4,4,4,4,5,5,4,4,5,4,5,5,4,5,4,3,4,4
5,5,4,5,5,5,3,5,5,4,5,5,5,4,4,5,4,3,4,4,4,3,4,5,5,5,3,5,4,5,5,4
5,5,5,5,5,4,4,5,5,5,4,4,4,3,4,4,5,4,5,4,4,4,4,4,5,4,5,5,5,5,4,5
4,2,4,2,2,4,4,1,4,4,5,5,4,4,4,4,4,5,5,5,4,4,3,4,4,5,4,5,5,5,4,4
5,3,4,5,5,4,4,4,4,5,4,5,5,5,5,4,5,4,4,5,4,5,5,5,4,5,5,5,5,5,4,4
4,5,5,4,4,5,5,5,5,4,5,4,4,5,5,5,5,3,5,5,4,4,5,4,5,5,4,4,3,4,4,5
3,4,3,3,4,4,4,3,5,4,4,4,4,4,5,4,5,5,5,4,4,5,4,4,5,4,5,5,3,3,5,4
5,4,3,4,3,5,3,5,3,4,5,5,5,5,4,5,5,5,1,4,4,5,5,5,3,5,4,4,5,5,5,4
4,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,5,5,5,4,4,3,5,4,5,4,4,5,5,5,4,5
4,3,3,3,3,3,5,5,5,4,5,4,4,5,5,5,5,5,4,5,4,4,4,4,5,5,5,4,3,3,5,5
4,4,1,5,1,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,4,4,4,3,4,5,5,4,3,3,4,4
5,3,4,4,5,4,5,5,4,3,5,3,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,3,5,4,4,4
4,4,5,5,3,4,5,4,5,5,4,4,5,4,5,5,4,3,4,5,4,5,4,5,5,4,4,3,3,4,4,4
3,4,4,4,5,4,4,5,4,4,5,4,4,3,4,5,4,4,4,4,4,5,5,4,4,5,4,4,4,4,5,4
5,4,4,5,5,3,5,4,4,5,4,4,5,5,5,4,5,3,4,4,4,5,5,5,4,5,5,5,5,5,3,4
5,3,4,4,5,5,3,5,5,4,5,4,4,5,5,5,4,5,4,1,4,5,5,4,5,5,4,5,5,5,4,4
3,3,4,5,3,4,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,4,4,5,5,4,5,4,4,4,4,3
4,4,4,3,4,5,4,5,4,4,4,3,5,5,4,4,5,4,4,4,4,5,3,5,4,4,4,5,5,5,4,4
4,4,5,4,4,4,4,3,4,4,5,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,3
5,4,4,4,3,4,4,5,5,5,4,4,5,4,4,5,4,5,4,5,4,5,4,5,5,5,4,5,3,3,3,4
5,3,4,5,3,4,5,5,5,4,4,5,4,5,4,4,5,3,5,4,4,4,5,4,5,5,5,4,5,4,3,3
3,4,4,3,5,4,3,5,5,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,5,4,4,1,1,4,4,4
4,3,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,5,4,4,5
4,4,4,3,4,4,4,1,4,3,4,3,4,5,4,5,5,5,5,4,4,4,3,4,4,4,5,4,4,5,5,4
3,3,3,5,4,4,5,4,5,3,5,5,5,4,5,4,5,5,4,4,4,4,5,5,5,3,4,4,4,4,4,4
5,3,4,4,3,4,4,3,5,5,4,4,4,5,4,5,5,3,4,5,4,5,5,4,5,4,5,4,4,3,4,5
5,3,4,3,5,4,5,5,4,4,5,4,5,4,5,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,4,5
4,5,4,5,4,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5,4,3,5,4,5,5,5,5,5,5,5,5
5,4,4,5,5,4,5,5,5,3,4,5,4,4,5,4,5,4,3,4,4,4,3,4,5,3,4,4,1,4,4,3
4,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,5,5,3,5
3,4,5,5,5,4,4,5,3,4,4,4,5,3,5,5,5,4,4,4,4,5,5,5,3,4,4,4,3,3,4,4
4,4,4,4,5,4,5,4,4,5,5,3,4,5,5,5,5,5,5,4,4,4,3,4,4,3,4,4,5,4,5,3
4,4,4,4,5,4,3,4,4,5,4,4,5,5,4,5,5,4,4,4,4,1,5,5,4,5,5,5,5,5,4,4
3,4,4,3,5,4,4,4,5,4,5,5,4,5,4,5,4,4,5,1,4,4,5,4,5,4,4,4,3,3,4,4
5,4,5,3,3,4,3,5,5,4,4,4,5,5,5,4,5,5,4,4,5,3,1,5,5,4,5,5,5,4,4,4
3,4,3,5,4,4,5,4,4,4,4,5,4,4,5,5,4,5,4,5,5,4,5,5,4,4,5,4,5,4,4,4
5,3,3,4,3,5,4,4,5,5,5,3,5,5,4,5,4,5,4,5,3,5,4,4,5,4,4,4,4,4,5,5
3,3,3,3,3,4,5,4,4,3,4,3,5,5,4,3,5,5,5,5,5,4,5,5,5,4,4,5,5,3,5,5
5,3,4,3,5,3,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,4,5,4,4,4,5,3,5,4
4,4,3,5,3,4,5,5,4,4,4,5,5,4,4,5,5,5,1,4,4,4,5,4,4,4,5,5,3,3,3,5
2,3,4,2,3,4,3,4,4,5,5,3,4,4,5,3,4,4,5,5,5,5,3,5,4,4,5,4,4,4,4,4
4,3,3,2,3,4,4,3,4,5,5,3,4,5,4,4,5,4,4,5,4,5,4,4,5,4,4,5,3,4,5,5
3,3,4,4,3,4,5,5,5,3,4,5,5,5,5,3,4,4,4,4,5,4,5,4,5,4,5,4,3,4,3,5
4,4,4,4,4,3,3,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,3,5,3,4,4,4,4,3,4,4
3,3,4,4,4,5,4,3,5,4,4,4,3,3,5,4,4,5,5,5,4,4,4,3,5,3,5,5,4,4,5,4
2,3,3,2,3,4,3,4,4,3,5,4,4,5,4,5,5,4,4,5,5,4,5,4,4,4,5,4,4,4,5,5
4,3,4,3,3,5,5,5,5,4,4,4,4,5,4,4,5,5,4,5,4,5,5,4,5,3,4,4,4,3,3,4
4,4,5,4,4,4,3,5,4,4,5,5,5,3,5,5,4,5,4,5,4,5,3,5,4,4,4,5,4,4,5,4
5,5,4,4,3,4,4,5,5,4,4,3,4,3,5,5,4,3,5,5,5,5,5,4,5,4,5,5,4,3,5,5
4,5,3,3,4,5,5,4,5,5,5,4,5,5,5,5,4,4,5,4,4,4,5,5,5,4,4,5,3,3,5,5
5,4,4,4,4,3,4,5,3,4,4,4,5,3,5,5,5,4,4,4,4,5,5,5,3,3,4,5,4,4,3,4
4,5,4,3,3,5,5,4,4,5,5,3,4,5,5,5,5,5,5,4,4,4,3,4,4,4,5,5,3,4,5,4
4,5,4,4,5,4,3,4,4,5,4,4,5,5,4,5,5,4,4,4,4,1,5,5,4,4,5,4,3,4,4,5
3,4,4,4,4,4,3,4,4,3,3,5,4,4,5,3,5,5,5,5,4,4,4,4,5,5,4,4,4,5,4,5
4,4,4,4,5,4,5,5,5,4,5,5,5,5,2,4,4,4,4,5,4,4,4,3,4,4,3,4,4,4,4,4
3,4,4,4,5,5,5,3,5,5,5,4,4,4,2,2,5,5,5,4,4,4,4,4,4,3,4,3,3,4,4,5
4,4,3,3,3,3,5,5,5,5,5,4,4,3,5,5,5,5,5,5,4,4,4,4,3,5,3,4,3,4,4,4
3,5,4,3,3,3,5,5,5,5,5,2,2,3,4,4,5,5,5,5,4,4,4,4,3,5,4,3,4,4,3,4
4,5,4,3,4,3,5,3,5,5,5,4,4,4,3,3,5,5,5,2,4,4,4,4,4,3,3,4,3,4,5,3
3,4,4,4,5,4,5,5,5,5,5,5,5,5,3,3,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,5
3,3,4,5,5,5,4,5,4,3,5,5,5,5,3,3,5,5,5,5,4,4,4,4,5,3,5,4,4,3,4,4
4,4,4,5,4,4,2,5,4,3,5,4,4,4,4,4,5,5,5,5,3,4,4,4,4,4,4,3,4,4,4,4
4,3,4,4,4,4,5,3,5,5,5,5,5,5,3,4,5,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3
3,4,1,5,5,5,4,5,3,4,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,3,4,3,4
4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,3,4,4,3,4
4,3,4,2,4,2,5,4,5,5,5,5,4,5,2,4,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
3,4,3,4,5,3,4,4,5,4,5,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
4,4,4,5,5,5,5,4,3,2,5,5,3,5,5,4,5,4,5,5,3,3,4,3,4,4,4,4,3,4,3,4
4,3,4,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,5,4,4,4,3,4,3,3,4,4,4,4,3,5
5,5,3,4,4,5,5,5,5,4,5,5,4,5,5,4,5,4,5,4,3,3,3,3,4,5,4,4,4,4,4,4
3,4,4,5,5,5,5,3,5,5,5,5,4,5,3,4,5,4,5,5,4,4,4,4,4,3,4,4,4,4,4,4
4,5,5,5,4,4,5,4,5,5,5,4,5,5,3,2,4,4,5,5,4,5,5,4,5,4,4,4,5,5,4,5
5,4,4,3,4,4,4,4,4,5,4,5,3,3,4,4,4,4,4,2,5,4,4,4,4,3,4,5,5,5,4,4
4,4,5,3,3,3,5,5,4,3,5,3,3,3,1,1,3,4,3,4,5,5,5,5,4,5,5,3,5,5,5,5
5,5,5,3,3,4,3,4,4,3,4,4,5,4,5,5,4,4,5,3,4,5,5,4,4,4,5,5,4,5,4,3
4,5,5,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,3,4,4,5,5,3,4,4,5,5,5,4
4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,3,4,4,4,3,4,5,5,4,5,3,4,5,5,5,4,5
5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,3,3,4,4,5,4,4,4,5,5,4,4,5,4
5,5,4,3,3,4,5,4,4,3,5,3,2,3,5,4,4,4,5,2,4,3,5,5,5,3,4,4,5,5,4,4
4,5,5,5,4,4,3,3,2,2,3,4,4,4,4,4,4,3,4,4,5,5,5,4,4,5,5,4,5,5,5,4
5,4,4,3,4,3,4,4,5,5,5,5,5,5,3,5,5,4,4,5,4,4,5,5,5,5,4,5,4,4,3,1
5,5,3,3,4,4,4,5,5,5,5,4,4,4,3,3,5,5,5,5,4,5,5,4,5,5,5,4,5,5,4,5
3,4,5,3,3,3,4,4,4,4,4,4,3,3,4,3,5,5,4,5,5,3,5,5,4,4,4,5,5,5,5,4
4,5,4,4,3,3,4,4,3,4,3,2,3,2,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,2,3,3,4,4,5,5,5,4,4,5,5,3,4,5,4,5,5,5,5,5,5,5,5,5,3
5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,3,4,5,5,4,5,4,4,1,1,4,4
4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,4,4,4,5,4,4,5,5,5,5,5,5,4
4,5,4,3,3,4,5,5,5,5,5,3,4,4,5,5,4,3,3,4,4,4,4,4,5,4,4,4,4,5,4,5
5,5,5,3,3,3,4,4,4,3,4,3,3,3,5,4,5,5,3,4,3,4,4,4,5,5,5,4,4,5,5,4
5,3,4,5,5,5,3,3,3,4,4,5,5,5,3,3,3,4,2,3,5,5,5,3,4,5,5,4,4,5,4,4
5,5,5,5,4,4,5,5,5,5,5,5,5,3,5,4,5,5,5,3,4,3,5,4,4,5,4,5,5,5,5,5
5,4,4,3,3,3,5,5,5,3,5,4,3,3,4,4,5,5,4,5,4,5,4,5,5,5,4,4,5,5,4,5
4,4,5,3,5,3,4,4,5,4,5,3,3,4,3,3,5,5,5,3,5,4,5,4,4,5,5,4,5,5,3,1
5,5,4,4,5,4,4,4,3,3,3,4,5,3,4,5,5,5,5,3,4,5,4,5,5,4,4,5,4,4,4,5
5,4,4,4,4,4,4,4,4,4,5,5,4,4,2,5,3,3,3,5,4,5,4,4,4,4,4,4,5,4,5,5
4,5,5,4,4,4,3,2,5,2,3,5,4,4,4,5,3,3,3,3,5,3,5,4,5,5,4,5,4,4,4,4
5,4,4,3,3,3,4,5,5,5,5,5,3,3,5,5,5,4,3,5,3,5,5,4,4,5,5,4,4,5,4,5
5,5,5,5,4,3,3,4,2,3,5,5,5,5,4,4,5,4,4,1,5,5,4,4,4,5,4,4,4,5,5,4
5,5,4,5,4,4,2,3,4,2,3,3,5,5,4,4,4,4,4,2,4,5,5,5,5,5,4,5,4,5,4,4
5,3,4,5,4,3,4,4,4,5,4,5,4,3,5,5,4,4,4,5,4,4,5,4,4,4,5,4,4,4,5,4
4,5,5,3,4,4,4,4,4,4,4,5,4,3,4,5,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5
5,4,5,5,5,4,3,3,3,3,3,5,5,5,5,4,5,5,5,4,3,5,4,4,5,4,4,4,4,5,4,5
4,3,5,4,5,5,3,4,4,3,3,4,3,4,3,3,3,5,5,5,5,4,5,5,5,5,5,4,4,4,5,4
4,4,5,4,3,3,5,5,5,4,5,4,5,5,4,5,4,5,5,5,1,5,4,4,5,5,4,5,5,4,4,4
5,4,5,5,3,3,4,5,4,3,4,5,5,5,3,4,5,5,5,5,4,4,5,4,5,4,5,4,4,4,4,3
5,5,3,4,4,3,5,4,5,4,4,4,5,5,3,4,5,5,5,5,4,4,4,4,5,4,4,5,5,4,5,5
5,4,5,5,5,4,4,3,5,4,5,5,4,4,3,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5
4,5,4,3,5,5,3,4,3,5,5,3,3,4,2,5,5,5,5,5,4,3,4,5,5,5,4,4,4,4,5,5
5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,4,4
5,4,4,3,4,4,4,5,4,3,5,3,4,4,5,5,4,5,5,5,4,5,5,4,5,5,4,4,5,5,5,4
4,4,5,3,5,5,2,5,4,3,5,3,4,4,4,4,3,5,5,3,5,4,4,3,5,5,4,4,5,5,4,4
3,4,4,3,5,5,3,3,4,3,4,3,5,4,4,4,5,5,5,4,4,4,4,4,4,4,1,4,4,3,4,4
4,3,3,2,4,2,5,5,5,4,5,2,5,3,5,5,4,5,5,4,4,3,4,3,4,4,4,4,3,4,4,4
4,4,4,4,4,4,4,5,4,5,3,4,4,4,3,4,4,5,5,4,5,4,5,5,3,4,4,3,4,4,3,4
3,4,4,4,5,4,3,4,4,5,5,5,4,5,4,5,3,5,5,4,4,4,5,4,4,3,4,4,4,4,4,4
4,3,3,4,5,5,2,3,4,3,4,5,5,5,4,5,5,5,5,3,4,5,4,5,4,4,4,3,4,4,3,3
3,5,3,5,5,5,4,4,5,4,4,4,5,5,4,4,3,4,5,5,4,3,4,4,3,4,4,3,4,4,4,4
4,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,3,4,4,3,4
4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,5,5,4,5,5,4,4,4,4,3,4,3,4,4,4,4,4
3,4,3,3,4,4,3,3,3,3,3,4,3,3,4,5,5,3,5,2,4,4,3,4,4,4,4,3,4,4,4,4
4,4,4,4,4,5,5,4,5,4,5,5,4,4,4,4,5,4,5,4,4,4,4,3,4,4,4,4,5,4,3,4
4,1,4,4,3,3,4,4,5,5,5,3,5,5,4,5,4,4,4,1,4,4,4,4,4,3,4,5,4,4,4,3
4,5,3,4,5,4,5,3,5,5,4,4,4,4,4,5,5,4,5,3,3,5,4,4,3,4,5,4,4,5,4,4
4,4,4,3,3,4,4,5,5,5,5,4,4,3,4,5,5,3,4,5,5,4,4,3,4,4,4,4,4,4,4,4
3,4,4,3,3,5,5,5,5,5,5,2,2,3,4,5,3,1,4,4,4,4,4,4,4,3,4,4,4,4,3,4
3,5,4,3,4,5,5,3,5,5,5,4,4,4,4,5,3,3,3,3,3,4,4,3,4,4,4,3,3,4,4,4
3,3,4,4,5,4,5,4,5,3,5,5,5,5,4,3,3,5,3,3,4,4,5,4,4,5,4,4,4,4,3,4
4,4,4,3,4,4,4,3,4,5,3,3,4,3,2,3,3,4,4,3,5,4,5,4,4,3,4,3,4,4,4,4
4,4,4,4,5,5,5,5,5,4,5,4,3,4,4,5,4,5,5,5,4,4,4,3,4,4,4,4,4,4,3,4
3,4,4,4,3,3,4,3,4,4,4,4,5,5,3,4,5,5,5,5,5,3,4,4,4,4,4,3,3,4,4,4
4,4,4,5,3,3,3,4,3,5,5,5,4,4,3,4,5,5,5,5,4,4,3,4,4,4,4,4,4,3,4,4
4,4,4,4,4,3,4,4,4,4,4,4,5,5,3,5,5,5,5,5,4,4,4,3,4,4,4,3,4,4,4,4
4,4,3,5,5,4,5,5,5,5,5,5,4,4,2,5,5,5,5,5,5,4,5,4,4,3,4,3,4,4,4,3
3,4,4,4,4,4,4,5,4,5,3,4,4,4,3,4,4,5,5,4,4,4,4,4,4,4,4,3,4,3,4,4
4,4,3,5,5,4,3,4,4,5,5,5,5,5,4,5,3,5,5,4,3,4,3,4,4,4,1,3,4,4,3,4
4,5,5,4,5,5,2,3,4,3,4,5,5,5,4,5,5,5,5,3,4,4,5,4,5,5,4,3,5,4,4,4
5,3,4,5,4,4,4,4,5,4,4,4,5,4,4,4,3,4,5,5,3,5,5,4,4,5,4,5,5,4,5,5
4,4,5,3,3,3,4,4,3,3,3,3,4,4,4,4,5,4,4,5,3,5,5,5,4,3,4,5,4,4,4,4
5,3,4,3,3,3,5,5,4,3,5,3,3,3,1,1,3,4,3,4,4,4,4,4,5,5,4,3,4,4,3,4
4,5,4,3,3,4,3,4,4,3,4,4,5,4,5,5,4,4,5,3,3,5,5,4,5,5,4,5,4,4,4,4
4,5,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,4,4,3,4
5,5,4,4,4,4,4,3,4,4,5,4,4,4,4,3,4,4,4,3,5,4,4,1,5,4,4,4,3,4,4,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,3,3,5,5,5,5,5,5,3,5,4,5,4,5
4,4,5,3,2,3,4,4,3,4,3,3,2,3,3,3,5,5,5,4,4,5,5,4,3,4,4,5,4,4,4,5
5,3,4,5,5,5,2,3,2,4,3,4,4,5,4,4,5,5,3,4,4,4,4,4,4,5,4,4,4,3,4,4
5,5,4,4,5,5,4,4,4,3,4,5,5,4,4,4,5,5,4,5,5,5,5,4,5,5,4,5,4,4,3,4
5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,3,4,3,3,4,5,1,1,4,5,5,4,3,5,5,4,5
5,4,4,3,3,4,4,4,3,5,4,3,4,4,5,5,4,3,3,4,5,5,5,4,4,4,3,5,4,4,4,4
5,3,5,3,3,4,4,3,5,4,4,4,4,3,4,5,5,3,4,5,4,4,5,5,4,5,4,4,4,5,5,4
4,3,5,3,3,5,5,5,5,5,5,2,2,3,4,5,3,3,4,4,5,4,5,4,5,5,4,5,4,4,4,4
5,5,4,3,4,5,5,3,5,5,5,4,4,4,4,5,3,3,3,3,5,4,5,4,5,3,5,4,5,5,5,3
4,5,4,4,5,4,5,4,5,3,5,5,5,5,4,3,3,5,3,3,3,5,5,5,5,5,4,5,4,5,5,4
5,5,5,3,4,4,4,3,4,5,3,3,4,3,2,3,3,4,4,3,5,5,5,5,5,4,5,5,5,4,4,4
5,3,4,4,3,3,4,4,4,5,5,5,5,5,5,3,5,5,5,4,4,5,4,4,4,5,5,5,5,4,5,4
4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5
4,5,3,5,5,5,3,3,5,5,5,5,5,5,3,2,4,5,3,5,3,5,3,3,5,5,5,5,5,3,5,3
5,5,5,5,5,5,3,3,5,4,4,4,4,4,3,5,3,5,3,5,3,4,3,3,5,4,4,4,3,3,4,3
5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,2,5,5,5,3,3,3,3,3,3,3,3,3,4,3,3,3
4,5,3,5,5,5,4,4,3,5,5,5,5,5,5,2,3,5,4,3,4,5,4,4,3,5,5,5,5,4,5,4
5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,3,5,3,4,5,5,5,5,4,5,5,5,3,5,5,5
5,4,5,4,3,5,4,5,5,4,5,4,4,5,3,4,4,5,5,5,5,5,4,5,5,4,4,5,4,5,5,4
5,2,5,4,3,5,4,5,5,4,3,4,4,3,4,3,3,5,5,5,4,3,4,5,5,4,4,3,3,4,3,4
4,5,3,5,5,5,5,5,4,4,4,4,4,4,2,4,2,5,2,4,5,4,5,5,4,4,4,4,4,5,4,5
5,4,5,3,4,4,5,5,4,3,2,3,2,2,3,4,3,5,5,4,5,2,5,5,4,3,2,2,2,5,2,5
4,5,5,5,5,5,2,3,5,4,5,4,5,5,3,3,4,5,3,5,2,5,2,3,5,4,5,5,5,2,5,2
4,5,4,5,5,5,3,3,5,3,2,3,4,2,2,4,2,5,2,5,4,2,3,3,5,3,4,2,3,4,2,3
3,4,4,5,4,5,5,5,4,2,2,2,3,2,4,5,5,5,5,4,5,2,5,5,4,2,3,2,1,5,2,5
